Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Seng, Rémonie; Rolland, Matthieu; Beck-Wirth, Geneviève; Souala, Faouzi; Deveau, Christiane; Delfraissy, Jean-François; Goujard, Cécile; Meyer, Laurence; ","Trends in unsafe sex and influence of viral load among patients followed since primary HIV infection, 2000–2009",Aids,25,7,977-988,2011,LWW
"Rolland, Matthieu; Le Moal, Joëlle; Wagner, Vérène; Royère, Dominique; De Mouzon, Jean; ",Decline in semen concentration and morphology in a sample of 26 609 men close to general population between 1989 and 2005 in France,Human reproduction,28,2,462-470,2013,Oxford University Press
"Le Moal, Joëlle; Rolland, Matthieu; Goria, Sarah; Wagner, Vérène; De Crouy-Chanel, Perrine; Rigou, Annabel; De Mouzon, Jacques; Royère, Dominique; ",Semen quality trends in French regions are consistent with a global change in environmental exposure,Reproduction,147,4,567-574,2014,Bioscientifica Ltd Bristol
"Mak-McCully, Rachel A; Rosen, Burke Q; Rolland, Matthieu; Régis, Jean; Bartolomei, Fabrice; Rey, Marc; Chauvel, Patrick; Cash, Sydney S; Halgren, Eric; ","Distribution, amplitude, incidence, co-occurrence, and propagation of human K-complexes in focal transcortical recordings",eneuro,2,4,,2015,Society for Neuroscience
"Le Moal, J; Rigou, A; Rolland, M; Kudjawu, Y; De Mouzon, J; Lefranc, A; ",Surveillance épidémiologique d’indicateurs cliniques et biologiques de la fonction reproductive humaine en lien avec les perturbateurs endocriniens,Revue d'Épidémiologie et de Santé Publique,61,,S244-S245,2013,Elsevier Masson
"Le Moal, Joëlle; Kujdawu, Yao; Paty, Annie-Claude; Rolland, Matthieu; De Mouzon, Jacques; Guldner, Laurence; Wagner, Verène; ","P-394: Monitoring TDS Health Indicators in France: National Temporal and Spatial Trends for Sperm Quality, Testis Cancer and Congenital Malformations",Epidemiology,23,5S,,2012,LWW
"Mak-McCully, Rachel A; Rolland, Matthieu; Sargsyan, Anna; Gonzalez, Chris; Magnin, Michel; Chauvel, Patrick; Rey, Marc; Bastuji, Hélène; Halgren, Eric; ",Coordination of cortical and thalamic activity during non-REM sleep in humans,Nature communications,8,1,15499,2017,Nature Publishing Group UK London
"Newell, Marie-Louise; Rollins, Nigel; Jourdain, Gonzague; Humphrey, Jean; Kourtis, Athena; Hoffman, Irving; Essex, Max; Farley, Tim; Coovadia, Hoosen; Gray, Glenda; ",Contribution of maternal ART and breastfeeding to 24-month survival in HIV-exposed uninfected children: an individual pooled analysis of African and Asian studies,Clinical Infectious Diseases,66,11,1668-1677,2018,
"Bandoli, Gretchen; Kuo, Grace M; Sugathan, Renu; Chambers, Christina D; Rolland, Matthieu; Palmsten, Kristin; ",Longitudinal trajectories of antidepressant use in pregnancy and the postnatal period,Archives of women's mental health,21,4,411,2018,
"Palmsten, Kristin; Rolland, Matthieu; Hebert, Mary F; Clowse, Megan EB; Schatz, Michael; Xu, Ronghui; Chambers, Christina D; ",Patterns of prednisone use during pregnancy: daily and cumulative dose,Journal of Patient-Centered Research and Reviews,4,3,163-164,2017,"Aurora Health Care, Inc."
"Palmsten, Kristin; Rolland, Matthieu; Hebert, Mary F; Clowse, Megan EB; Schatz, Michael; Xu, Ronghui; Chambers, Christina D; ",Patterns of prednisone use during pregnancy in women with rheumatoid arthritis: daily and cumulative dose,Pharmacoepidemiology and drug safety,27,4,430-438,2018,
,Patterns of prednisone use during pregnancy in women with rheumatoid arthritis: Daily and cumulative dose,,,,,,
"Bodnar, Tamara S; Raineki, Charlis; Wertelecki, Wladimir; Yevtushok, Lyubov; Plotka, Larisa; Zymak-Zakutnya, Natalya; Honerkamp-Smith, Gordon; Wells, Alan; Rolland, Matthieu; Woodward, Todd S; ",Altered maternal immune networks are associated with adverse child neurodevelopment: Impact of alcohol consumption during pregnancy,"Brain, behavior, and immunity",73,,205-215,2018,Academic Press
"Arikawa, Shino; Rollins, Nigel; Jourdain, Gonzague; Humphrey, Jean; Kourtis, Athena P; Hoffman, Irving; Essex, Max; Farley, Tim; Coovadia, Hoosen M; Gray, Glenda; ",Contribution of maternal antiretroviral therapy and breastfeeding to 24-month survival in human immunodeficiency virus-exposed uninfected children: an individual pooled analysis of African and Asian studies,Clinical Infectious Diseases,66,11,1668-1677,2018,Oxford University Press US
